Time,Spectra_1,Spectra_2,Spectra_3,Spectra_4,Spectra_5,Spectra_6,Spectra_7,Spectra_8,Spectra_9,Spectra_10,Spectra_11,Spectra_12,Spectra_13,Spectra_14,Spectra_15,Spectra_16,Spectra_17,Spectra_18,Spectra_19,Spectra_20,Spectra_21,Spectra_22,Spectra_23,Spectra_24,Spectra_25,Spectra_26,Spectra_27,Spectra_28,Spectra_29,Spectra_30,Spectra_31,Spectra_32,Spectra_33,Spectra_34,Spectra_35,Spectra_36,Spectra_37,Spectra_38,Spectra_39,Spectra_40,Spectra_41,Spectra_42,Spectra_43,Spectra_44,Spectra_45,Spectra_46,Spectra_47,Spectra_48,Spectra_49,Spectra_50,Spectra_51,Spectra_52,Spectra_53,Spectra_54,Spectra_55,Spectra_56,Spectra_57,Spectra_58,Spectra_59,Spectra_60
2026-03-04 10:35:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04 10:35:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04 10:35:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04 10:35:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04 10:35:25,93.56,98.12,97.43,100.48,99.82,96.09,93.46,98.54,101.14,98.87,94.05,93.51,93.15,93.63,92.02,90.56,93.14,93.9,88.72,76.23,80.5,86.48,87.34,85.39,84.6,83.38,79.19,77.34,78.12,81.01,82.6,82.08,78.73,70.19,77.61,82.66,80.05,72.66,69.57,69.53,77.19,75.2,71.79,71.45,79.54,82.22,81.43,78.2,76.74,74.46,69.31,75.63,78.86,82.6,84.23,82.09,77.32,79.75,80.81,76.02
2026-03-04 10:35:26,93.57,98.12,97.42,100.45,99.78,96.03,93.42,98.51,101.11,98.84,94.03,93.49,93.12,93.61,91.97,90.53,93.12,93.88,88.71,76.24,80.49,86.46,87.31,85.37,84.57,83.35,79.16,77.31,78.06,80.99,82.59,82.02,78.73,70.21,77.61,82.64,80.04,72.64,69.58,69.53,77.19,75.19,71.79,71.45,79.52,82.2,81.41,78.17,76.74,74.46,69.31,75.62,78.83,82.58,84.2,82.02,77.3,79.74,80.79,76.0
2026-03-04 10:35:27,93.57,98.11,97.36,100.34,99.67,95.88,93.34,98.42,101.0,98.76,93.95,93.39,93.02,93.55,91.85,90.45,93.04,93.77,88.67,76.32,80.47,86.39,87.23,85.31,84.48,83.22,79.06,77.22,77.89,80.89,82.54,81.91,78.72,70.2,77.53,82.53,80.01,72.63,69.61,69.5,77.17,75.17,71.77,71.48,79.46,82.11,81.29,78.12,76.75,74.4,69.25,75.61,78.76,82.46,84.08,81.82,77.24,79.69,80.73,75.94
2026-03-04 10:35:28,93.56,98.08,97.23,100.16,99.5,95.72,93.27,98.28,100.81,98.62,93.84,93.23,92.89,93.47,91.71,90.3,92.89,93.59,88.6,76.46,80.47,86.3,87.12,85.23,84.33,83.01,78.92,77.09,77.64,80.72,82.46,81.8,78.68,70.12,77.37,82.35,79.94,72.65,69.68,69.4,77.13,75.14,71.72,71.52,79.34,81.92,81.06,78.09,76.78,74.28,69.1,75.59,78.65,82.26,83.86,81.53,77.12,79.6,80.65,75.86
2026-03-04 10:35:29,93.53,98.01,97.05,99.93,99.28,95.55,93.19,98.08,100.55,98.43,93.7,93.0,92.72,93.37,91.54,90.09,92.68,93.33,88.5,76.66,80.47,86.18,86.99,85.11,84.12,82.73,78.75,76.93,77.33,80.48,82.35,81.69,78.63,69.98,77.14,82.09,79.86,72.71,69.78,69.25,77.06,75.12,71.67,71.58,79.19,81.66,80.73,78.07,76.82,74.12,68.88,75.56,78.52,81.99,83.56,81.17,76.97,79.48,80.54,75.78
2026-03-04 10:35:30,93.45,97.91,96.82,99.66,98.99,95.32,93.04,97.76,100.18,98.15,93.47,92.7,92.5,93.17,91.28,89.86,92.39,92.93,88.29,76.86,80.45,85.97,86.76,84.9,83.86,82.42,78.58,76.76,77.0,80.17,82.19,81.58,78.6,69.88,76.89,81.81,79.79,72.79,69.92,69.1,76.91,75.06,71.62,71.69,79.05,81.38,80.35,78.06,76.89,73.97,68.69,75.53,78.37,81.65,83.21,80.83,76.84,79.34,80.42,75.71
2026-03-04 10:35:31,93.33,97.78,96.56,99.31,98.55,95.02,92.79,97.32,99.69,97.73,93.13,92.33,92.16,92.88,90.97,89.51,91.99,92.41,88.0,77.04,80.39,85.61,86.37,84.57,83.55,82.13,78.45,76.61,76.67,79.82,81.96,81.39,78.53,69.84,76.67,81.51,79.68,72.89,70.04,68.92,76.7,74.97,71.59,71.78,78.86,81.09,79.99,78.06,76.93,73.83,68.56,75.52,78.21,81.31,82.85,80.5,76.71,79.18,80.24,75.66
2026-03-04 10:35:32,93.22,97.64,96.31,98.94,98.09,94.67,92.51,96.84,99.16,97.27,92.8,91.96,91.76,92.53,90.59,89.1,91.58,91.87,87.67,77.21,80.24,85.12,85.85,84.17,83.26,81.88,78.35,76.5,76.38,79.45,81.65,81.16,78.43,69.81,76.43,81.17,79.44,72.99,70.2,68.77,76.48,74.86,71.49,71.86,78.62,80.75,79.61,78.0,76.96,73.69,68.5,75.52,78.03,80.93,82.43,80.16,76.52,78.97,80.02,75.63
2026-03-04 10:35:33,93.13,97.52,96.03,98.57,97.68,94.29,92.22,96.34,98.56,96.79,92.5,91.59,91.37,92.16,90.15,88.7,91.2,91.34,87.3,77.38,80.03,84.5,85.22,83.69,83.01,81.71,78.31,76.4,76.16,79.1,81.26,80.9,78.3,69.72,76.11,80.78,78.98,73.09,70.42,68.71,76.27,74.76,71.26,71.98,78.41,80.38,79.2,77.88,76.97,73.58,68.55,75.55,77.82,80.52,81.88,79.78,76.25,78.67,79.8,75.61
2026-03-04 10:35:34,93.04,97.42,95.73,98.19,97.29,93.87,91.94,95.84,97.91,96.31,92.22,91.22,90.97,91.79,89.65,88.31,90.84,90.82,86.9,77.54,79.76,83.75,84.52,83.15,82.79,81.6,78.29,76.32,76.02,78.78,80.8,80.61,78.15,69.58,75.72,80.34,78.32,73.19,70.68,68.74,76.06,74.67,70.91,72.13,78.22,80.01,78.75,77.69,76.98,73.53,68.69,75.62,77.62,80.06,81.22,79.37,75.91,78.3,79.56,75.6
2026-03-04 10:35:35,92.97,97.33,95.41,97.82,96.93,93.44,91.66,95.35,97.22,95.82,91.97,90.85,90.59,91.43,89.11,87.94,90.51,90.31,86.48,77.7,79.45,82.91,83.76,82.56,82.6,81.55,78.31,76.24,75.94,78.48,80.28,80.3,77.97,69.4,75.28,79.87,77.51,73.29,70.97,68.85,75.86,74.59,70.47,72.31,78.06,79.62,78.3,77.44,76.98,73.5,68.91,75.71,77.41,79.58,80.48,78.93,75.52,77.86,79.31,75.61
2026-03-04 10:35:36,92.91,97.27,95.09,97.45,96.6,92.98,91.39,94.86,96.5,95.33,91.74,90.49,90.21,91.07,88.54,87.59,90.19,89.82,86.06,77.85,79.11,82.01,82.95,81.93,82.44,81.55,78.36,76.18,75.91,78.22,79.71,79.97,77.78,69.19,74.81,79.37,76.56,73.38,71.29,69.03,75.67,74.52,69.95,72.49,77.92,79.23,77.83,77.16,76.97,73.51,69.2,75.81,77.19,79.08,79.66,78.48,75.08,77.38,79.07,75.62
2026-03-04 10:35:37,92.85,97.17,94.77,97.07,96.22,92.5,91.08,94.38,95.75,94.77,91.43,90.08,89.83,90.69,87.96,87.19,89.8,89.3,85.62,77.99,78.81,81.15,82.16,81.3,82.27,81.55,78.36,76.08,75.92,77.98,79.15,79.65,77.6,69.03,74.38,78.89,75.6,73.47,71.58,69.27,75.48,74.42,69.46,72.64,77.77,78.83,77.38,76.91,76.92,73.52,69.52,75.92,76.96,78.6,78.87,78.04,74.63,76.92,78.84,75.63
2026-03-04 10:35:38,92.74,97.01,94.41,96.59,95.76,91.96,90.72,93.87,94.97,94.13,91.06,89.65,89.44,90.26,87.33,86.69,89.3,88.71,85.12,78.07,78.53,80.38,81.38,80.5,82.05,81.5,78.29,75.88,75.92,77.77,78.64,79.36,77.47,68.96,74.04,78.47,74.8,73.62,71.89,69.54,75.29,74.33,69.11,72.83,77.66,78.5,77.01,76.72,76.89,73.45,69.88,76.04,76.74,78.2,78.19,77.68,74.28,76.54,78.6,75.57
2026-03-04 10:35:39,92.54,96.8,93.99,96.02,95.23,91.37,90.34,93.37,94.15,93.45,90.65,89.21,89.04,89.77,86.65,86.12,88.72,88.04,84.57,78.11,78.27,79.68,80.64,79.51,81.8,81.41,78.13,75.59,75.91,77.57,78.19,79.12,77.37,68.97,73.77,78.12,74.15,73.82,72.21,69.85,75.09,74.24,68.88,73.07,77.61,78.24,76.72,76.61,76.89,73.27,70.26,76.16,76.55,77.88,77.63,77.4,74.05,76.24,78.35,75.44
2026-03-04 10:35:40,92.28,96.53,93.53,95.35,94.65,90.74,89.95,92.86,93.32,92.73,90.22,88.78,88.64,89.24,85.93,85.47,88.06,87.31,83.98,78.11,78.02,79.05,79.93,78.36,81.52,81.28,77.91,75.21,75.89,77.39,77.8,78.91,77.3,69.06,73.55,77.84,73.63,74.06,72.54,70.18,74.88,74.15,68.76,73.36,77.6,78.04,76.49,76.55,76.9,73.0,70.67,76.28,76.39,77.63,77.18,77.2,73.92,76.02,78.08,75.26
2026-03-04 10:35:41,91.96,96.23,93.03,94.63,94.03,90.08,89.54,92.36,92.48,91.99,89.77,88.35,88.25,88.68,85.19,84.78,87.35,86.54,83.35,78.09,77.78,78.49,79.26,77.09,81.22,81.13,77.63,74.76,75.87,77.22,77.45,78.74,77.26,69.21,73.39,77.6,73.23,74.34,72.87,70.53,74.68,74.06,68.74,73.68,77.63,77.89,76.31,76.54,76.93,72.65,71.08,76.4,76.25,77.45,76.83,77.07,73.89,75.85,77.8,75.02
2026-03-04 10:35:42,91.6,95.9,92.5,93.85,93.39,89.4,89.14,91.86,91.65,91.23,89.31,87.93,87.86,88.1,84.44,84.04,86.6,85.73,82.7,78.04,77.55,77.99,78.64,75.72,80.91,80.94,77.3,74.26,75.83,77.06,77.15,78.6,77.26,69.41,73.28,77.42,72.94,74.64,73.21,70.89,74.48,73.97,68.8,74.02,77.7,77.8,76.2,76.57,76.98,72.24,71.51,76.52,76.14,77.33,76.57,77.01,73.95,75.75,77.51,74.75
2026-03-04 10:35:43,91.22,95.56,91.98,93.04,92.74,88.75,88.74,91.39,90.84,90.49,88.84,87.52,87.49,87.53,83.71,83.27,85.83,84.92,82.06,77.99,77.35,77.55,78.07,74.38,80.6,80.75,76.96,73.76,75.79,76.88,76.85,78.45,77.27,69.68,73.22,77.28,72.72,74.92,73.52,71.24,74.28,73.88,68.93,74.4,77.8,77.73,76.1,76.63,77.03,71.83,71.91,76.62,76.05,77.25,76.36,76.97,74.05,75.68,77.22,74.46
2026-03-04 10:35:44,90.8,95.18,91.49,92.22,92.13,88.11,88.36,90.92,90.09,89.77,88.36,87.05,87.06,86.97,83.05,82.49,85.09,84.16,81.45,77.96,77.19,77.15,77.57,73.22,80.3,80.59,76.66,73.33,75.72,76.69,76.55,78.27,77.29,70.02,73.24,77.1,72.52,75.11,73.79,71.6,74.08,73.74,69.1,74.76,77.91,77.63,75.97,76.64,77.1,71.51,72.28,76.73,76.01,77.18,76.14,76.9,74.16,75.62,76.96,74.23
2026-03-04 10:35:45,90.32,94.77,91.0,91.43,91.51,87.37,87.94,90.45,89.35,89.02,87.82,86.51,86.54,86.36,82.41,81.69,84.36,83.42,80.87,77.91,77.06,76.8,77.12,72.19,79.99,80.43,76.39,72.92,75.67,76.53,76.29,78.06,77.27,70.29,73.25,76.86,72.31,75.23,74.0,71.93,73.89,73.64,69.31,75.05,78.0,77.49,75.84,76.65,77.2,71.29,72.59,76.79,75.98,77.08,75.87,76.77,74.25,75.6,76.77,74.04
2026-03-04 10:35:46,89.84,94.34,90.42,90.66,90.91,86.62,87.45,89.92,88.58,88.26,87.26,85.95,85.98,85.75,81.8,80.91,83.62,82.73,80.34,77.86,76.96,76.52,76.73,71.3,79.7,80.22,76.13,72.54,75.61,76.4,76.07,77.88,77.24,70.52,73.25,76.62,72.14,75.34,74.17,72.21,73.7,73.57,69.53,75.27,78.09,77.35,75.78,76.7,77.25,71.08,72.78,76.76,75.94,76.98,75.57,76.57,74.35,75.63,76.65,73.88
2026-03-04 10:35:47,89.36,93.88,89.78,89.9,90.28,85.91,86.94,89.32,87.78,87.53,86.69,85.37,85.42,85.14,81.18,80.16,82.85,82.04,79.82,77.76,76.78,76.24,76.38,70.58,79.44,79.96,75.87,72.21,75.53,76.2,75.84,77.69,77.18,70.77,73.3,76.39,72.01,75.37,74.32,72.47,73.56,73.56,69.76,75.39,78.16,77.22,75.76,76.78,77.26,70.88,72.88,76.7,75.89,76.89,75.29,76.34,74.47,75.68,76.54,73.75
2026-03-04 10:35:48,88.85,93.41,89.19,89.15,89.63,85.23,86.4,88.71,87.0,86.81,86.1,84.74,84.85,84.53,80.58,79.45,82.04,81.38,79.34,77.64,76.57,76.0,76.04,69.95,79.19,79.69,75.64,71.98,75.43,75.98,75.59,77.51,77.12,71.06,73.36,76.13,71.86,75.3,74.46,72.76,73.48,73.53,69.99,75.36,78.14,77.02,75.68,76.82,77.25,70.76,73.0,76.65,75.85,76.82,75.06,76.1,74.6,75.68,76.36,73.6
2026-03-04 10:35:49,88.34,92.94,88.67,88.39,89.02,84.62,85.88,88.1,86.28,86.12,85.49,84.09,84.25,83.9,80.04,78.81,81.24,80.78,78.92,77.54,76.35,75.78,75.73,69.46,78.92,79.4,75.4,71.83,75.39,75.76,75.4,77.35,77.02,71.33,73.41,75.89,71.74,75.23,74.55,73.03,73.41,73.52,70.23,75.3,78.07,76.78,75.6,76.82,77.23,70.72,73.09,76.57,75.79,76.8,74.91,75.89,74.74,75.66,76.15,73.41
