registro,lado,metodo_espectral,suavizado,mascara,bandwidth_B,modo,SpSmooth_s,shift_s,segundos_enmascarados,porcentaje_enmascarado,n,Pearson,MAE,RMSE,bias
L03041035,unilateral,CWT Morlet,ewm,ARTF2,12.0,unilateral,30,6,1485,70.08022652194431,37740,0.6478379677611693,4.609028760395395,5.978395305031614,4.2388732132339975
L03041035,unilateral,CWT Morlet,ewm,base,3.0,unilateral,30,11,160,7.550731477111845,116880,0.6799258714963965,5.353947921809824,6.629244538386523,5.193564072704841
L03041035,unilateral,CWT Morlet,rolling,ARTF2,6.0,unilateral,30,10,1485,70.08022652194431,37200,0.6924347312009321,4.849449523929061,6.202263537141557,4.626257942440643
L03041035,unilateral,CWT Morlet,rolling,base,3.0,unilateral,30,11,160,7.550731477111845,116220,0.7093828249435792,5.278049540271791,6.4971113893731705,5.132440436889321
L03041035,unilateral,Welch,ewm,ARTF2,,unilateral,30,6,1485,70.08022652194431,37740,0.6488872730289253,3.58148725883371,4.84304960486014,2.2150502360021345
L03041035,unilateral,Welch,ewm,base,,unilateral,30,11,160,7.550731477111845,116880,0.6920089499421693,3.8284341460789,5.175878048737194,3.014640171891032
L03041035,unilateral,Welch,rolling,ARTF2,,unilateral,30,10,1485,70.08022652194431,37200,0.6827873988188681,3.7638073761189776,5.18268262037227,2.586550119386867
L03041035,unilateral,Welch,rolling,base,,unilateral,30,10,160,7.550731477111845,116340,0.723813181146804,3.7202902122904926,5.032721026627651,2.957048941574449
L04301923,derecha,CWT Morlet,ewm,ARTF2,0.5,bilateral,30,6,1095,15.208333333333332,365940,0.9803419568990417,4.069085108655682,4.418293537675787,3.7097400681225783
L04301923,derecha,CWT Morlet,ewm,base,12.0,bilateral,30,7,28,0.3888888888888889,429900,0.978764716024911,2.379089447213115,2.7653021989067983,1.879063471096684
L04301923,derecha,CWT Morlet,rolling,ARTF2,1.5,bilateral,30,5,1095,15.208333333333332,366000,0.9787033783073785,3.0362914599968387,3.3567743077385663,2.6113025706322723
L04301923,derecha,CWT Morlet,rolling,base,6.0,bilateral,30,6,28,0.3888888888888889,429960,0.9760018609609968,2.56977110451699,2.961577930510853,2.0666812677850097
L04301923,derecha,Welch,ewm,ARTF2,,bilateral,30,7,1095,15.208333333333332,365880,0.9867797415030415,0.9801665313687336,1.4143078814641792,0.1270080143962698
L04301923,derecha,Welch,ewm,base,,bilateral,30,7,28,0.3888888888888889,429900,0.9851961067740539,0.9905616297908086,1.5082380188225846,0.11261644820760469
L04301923,derecha,Welch,rolling,ARTF2,,bilateral,30,6,1095,15.208333333333332,365940,0.9847964046923392,1.0334523789241443,1.5016306203200425,0.1447859180520806
L04301923,derecha,Welch,rolling,base,,bilateral,30,6,28,0.3888888888888889,429960,0.9829668382251974,1.0215341444725707,1.598268779597403,0.12278192752705235
L04301923,izquierda,CWT Morlet,ewm,ARTF2,1.5,bilateral,30,7,922,12.805555555555555,376320,0.9824290278130322,2.979716876083766,3.2936425276839367,2.547912674398417
L04301923,izquierda,CWT Morlet,ewm,base,6.0,bilateral,30,8,31,0.4305555555555556,429660,0.9812339951509353,2.4605788104496105,2.801691184817283,1.9413466287623822
L04301923,izquierda,CWT Morlet,rolling,ARTF2,1.5,bilateral,30,6,922,12.805555555555555,376380,0.9814313597634342,2.9846787671805672,3.300392771888816,2.545375395106907
L04301923,izquierda,CWT Morlet,rolling,base,6.0,bilateral,30,6,31,0.4305555555555556,429780,0.9788362114865703,2.5005130638006077,2.8399295474411743,1.9420780683934211
L04301923,izquierda,Welch,ewm,ARTF2,,bilateral,30,7,922,12.805555555555555,376320,0.9889061165401648,0.9171328541897905,1.3326041439599987,0.10478304789316888
L04301923,izquierda,Welch,ewm,base,,bilateral,30,7,31,0.4305555555555556,429720,0.9868239899733021,0.942408840171811,1.449807603423099,-0.020324710439439498
L04301923,izquierda,Welch,rolling,ARTF2,,bilateral,30,6,922,12.805555555555555,376380,0.9869875152379533,0.9722601896851082,1.4137703870510834,0.10204269681865615
L04301923,izquierda,Welch,rolling,base,,bilateral,30,6,31,0.4305555555555556,429780,0.9836234506805568,0.9935702715466393,1.5772528198947728,-0.021439239401205533
L05141322,derecha,CWT Morlet,ewm,ARTF2,12.0,bilateral,30,1,1014,37.389380530973455,101820,0.9335500036042863,2.87545655571494,3.4584994565792577,2.499207945933797
L05141322,derecha,CWT Morlet,ewm,base,12.0,bilateral,30,6,28,1.0324483775811208,160680,0.9388661871606352,2.932843057302578,3.489350127769226,2.628874155848313
L05141322,derecha,CWT Morlet,rolling,ARTF2,6.0,bilateral,30,6,1014,37.389380530973455,101700,0.9419080721373835,3.041739914416897,3.5762498424012614,2.7981480357009634
L05141322,derecha,CWT Morlet,rolling,base,12.0,bilateral,30,6,28,1.0324483775811208,160680,0.9399811139147083,2.9364270358106754,3.47573624023701,2.6326948035490294
L05141322,derecha,Welch,ewm,ARTF2,,bilateral,30,2,1014,37.389380530973455,101760,0.9363596519986748,1.8876419774364104,2.4763333999885475,0.7940601999386336
L05141322,derecha,Welch,ewm,base,,bilateral,30,6,28,1.0324483775811208,160680,0.9420475259386613,1.823374898316159,2.4266260134322155,0.8870205094433918
L05141322,derecha,Welch,rolling,ARTF2,,bilateral,30,6,1014,37.389380530973455,101700,0.9451100356233302,1.7943473513096415,2.407710224338539,0.9056224347631882
L05141322,derecha,Welch,rolling,base,,bilateral,30,6,28,1.0324483775811208,160680,0.9455019804111384,1.7460166524941534,2.3873098106487904,0.8733433988306385
L05141322,izquierda,CWT Morlet,ewm,ARTF2,12.0,bilateral,30,3,877,32.33775811209439,109920,0.9345473557745335,2.6170006676751507,3.1792227568175613,2.2345243403108452
L05141322,izquierda,CWT Morlet,ewm,base,12.0,bilateral,30,6,137,5.051622418879056,154140,0.9358640912711791,2.640991833969239,3.2009698284830352,2.302529148672754
L05141322,izquierda,CWT Morlet,rolling,ARTF2,6.0,bilateral,30,6,877,32.33775811209439,109440,0.9404168055402349,2.76378601502013,3.3126783646766986,2.528884479799527
L05141322,izquierda,CWT Morlet,rolling,base,12.0,bilateral,30,6,137,5.051622418879056,153780,0.9376583407811787,2.660574201524724,3.1993386086713693,2.332528002507997
L05141322,izquierda,Welch,ewm,ARTF2,,bilateral,30,5,877,32.33775811209439,109800,0.939789821551496,1.6216022836256048,2.221521051028752,0.5053045339373925
L05141322,izquierda,Welch,ewm,base,,bilateral,30,6,137,5.051622418879056,154140,0.9376813002558028,1.6363996670668302,2.2743061333821353,0.4901543047932802
L05141322,izquierda,Welch,rolling,ARTF2,,bilateral,30,6,877,32.33775811209439,109440,0.9484588847559856,1.5317353047145312,2.1506758859657475,0.63168863877731
L05141322,izquierda,Welch,rolling,base,,bilateral,30,6,137,5.051622418879056,153780,0.9388386328996144,1.6004143505899462,2.3075866666485285,0.5207507403074793
