registro,lado,metodo_espectral,bandwidth_B,suavizado,mascara,modo,SpSmooth_s,shift_s,segundos_enmascarados,porcentaje_enmascarado,n,Pearson,MAE,RMSE,bias
L03041035,unilateral,CWT Morlet,0.5,ewm,ARTF2,unilateral,30,6,1485,70.08022652194431,37740,0.6222115109273627,5.34671844777902,6.622886340432366,5.101498815311163
L03041035,unilateral,CWT Morlet,0.5,ewm,base,unilateral,30,11,160,7.550731477111845,116880,0.6602122667677746,6.042918736181692,7.24382447052006,5.928726259963625
L03041035,unilateral,CWT Morlet,0.5,rolling,ARTF2,unilateral,30,10,1485,70.08022652194431,37200,0.6668660352215248,5.578385083640823,6.847895845731295,5.430743548170607
L03041035,unilateral,CWT Morlet,0.5,rolling,base,unilateral,30,11,160,7.550731477111845,116220,0.6909501544878494,5.976070941562121,7.119757247458733,5.873828087655788
L03041035,unilateral,CWT Morlet,1.5,ewm,ARTF2,unilateral,30,6,1485,70.08022652194431,37740,0.6399591052703714,4.856262913861445,6.165534789671082,4.53676029549335
L03041035,unilateral,CWT Morlet,1.5,ewm,base,unilateral,30,11,160,7.550731477111845,116880,0.6768459963514804,5.48110499590183,6.7355046572158495,5.33142430193762
L03041035,unilateral,CWT Morlet,1.5,rolling,ARTF2,unilateral,30,10,1485,70.08022652194431,37200,0.6873211500667923,5.048343258302324,6.357378513183748,4.85528893772921
L03041035,unilateral,CWT Morlet,1.5,rolling,base,unilateral,30,11,160,7.550731477111845,116220,0.7072189911171676,5.408077504409147,6.603247493510414,5.272845807652702
L03041035,unilateral,CWT Morlet,3.0,ewm,ARTF2,unilateral,30,6,1485,70.08022652194431,37740,0.6440060773737621,4.744565751205905,6.065180252467341,4.402558625544083
L03041035,unilateral,CWT Morlet,3.0,ewm,base,unilateral,30,11,160,7.550731477111845,116880,0.6799258714963965,5.353947921809824,6.629244538386523,5.193564072704841
L03041035,unilateral,CWT Morlet,3.0,rolling,ARTF2,unilateral,30,10,1485,70.08022652194431,37200,0.6915397923232913,4.9261143733655155,6.2527359809720195,4.718973346973155
L03041035,unilateral,CWT Morlet,3.0,rolling,base,unilateral,30,11,160,7.550731477111845,116220,0.7093828249435792,5.278049540271791,6.4971113893731705,5.132440436889321
L03041035,unilateral,CWT Morlet,6.0,ewm,ARTF2,unilateral,30,6,1485,70.08022652194431,37740,0.645064260379882,4.672055743894594,6.013348035946425,4.310480600062233
L03041035,unilateral,CWT Morlet,6.0,ewm,base,unilateral,30,11,160,7.550731477111845,116880,0.6798645326526223,5.269928701334722,6.575281940052067,5.100445593837071
L03041035,unilateral,CWT Morlet,6.0,rolling,ARTF2,unilateral,30,10,1485,70.08022652194431,37200,0.6924347312009321,4.849449523929061,6.202263537141557,4.626257942440643
L03041035,unilateral,CWT Morlet,6.0,rolling,base,unilateral,30,11,160,7.550731477111845,116220,0.7080072156131559,5.19071202170979,6.445225517142833,5.035723078103335
L03041035,unilateral,CWT Morlet,12.0,ewm,ARTF2,unilateral,30,6,1485,70.08022652194431,37740,0.6478379677611693,4.609028760395395,5.978395305031614,4.2388732132339975
L03041035,unilateral,CWT Morlet,12.0,ewm,base,unilateral,30,11,160,7.550731477111845,116880,0.6783088702094012,5.200237535659318,6.549109457506509,5.024262458328875
L03041035,unilateral,CWT Morlet,12.0,rolling,ARTF2,unilateral,30,10,1485,70.08022652194431,37200,0.6911463733794331,4.78697732654807,6.178008000851326,4.543564578815584
L03041035,unilateral,CWT Morlet,12.0,rolling,base,unilateral,30,11,160,7.550731477111845,116220,0.7036556909928406,5.117820146415787,6.424436231449207,4.95139375242602
