registro,lado,bit,artefacto,segundos,porcentaje
L03041035,unilateral,2,Pendiente excesiva,135,6.370929683813119
L03041035,unilateral,3,ECG/marcapasos,94,4.436054742803209
L03041035,unilateral,8,Potencia demasiado pequeña,794,37.470504955167534
L03041035,unilateral,9,Movimiento,836,39.45257196790939
L03041035,unilateral,10,Glitch,64,3.020292590844738
L03041035,unilateral,13,Impedancia combinada alta,24,1.1326097215667768
L03041035,unilateral,15,Clipping,14,0.6606890042472865
L03041035,unilateral,25,Bloqueo,79,3.7281736668239738
L03041035,unilateral,26,Amplificadores a cero,7,0.33034450212364325
L03041035,unilateral,29,Estado impedancia 0,63,2.973100519112789
L03041035,unilateral,30,Estado impedancia 1,63,2.973100519112789
L03041035,unilateral,-1,Unión de flags usados en máscara,1437,67.81500707881077
L05141322,izquierda,2,Pendiente excesiva,4,0.14749262536873156
L05141322,izquierda,3,ECG/marcapasos,160,5.899705014749262
L05141322,izquierda,4,Arrastre de artefacto,6,0.22123893805309736
L05141322,izquierda,8,Potencia demasiado pequeña,16,0.5899705014749262
L05141322,izquierda,9,Movimiento,561,20.6858407079646
L05141322,izquierda,10,Glitch,37,1.364306784660767
L05141322,izquierda,15,Clipping,7,0.2581120943952802
L05141322,izquierda,25,Bloqueo,56,2.0648967551622417
L05141322,izquierda,29,Estado impedancia 0,40,1.4749262536873156
L05141322,izquierda,30,Estado impedancia 1,40,1.4749262536873156
L05141322,izquierda,-1,Unión de flags usados en máscara,782,28.83480825958702
L05141322,derecha,2,Pendiente excesiva,3,0.11061946902654868
L05141322,derecha,3,ECG/marcapasos,315,11.61504424778761
L05141322,derecha,4,Arrastre de artefacto,5,0.18436578171091444
L05141322,derecha,8,Potencia demasiado pequeña,20,0.7374631268436578
L05141322,derecha,9,Movimiento,624,23.008849557522122
L05141322,derecha,10,Glitch,75,2.765486725663717
L05141322,derecha,15,Clipping,1,0.03687315634218289
L05141322,derecha,25,Bloqueo,56,2.0648967551622417
L05141322,derecha,29,Estado impedancia 0,40,1.4749262536873156
L05141322,derecha,30,Estado impedancia 1,40,1.4749262536873156
L05141322,derecha,-1,Unión de flags usados en máscara,993,36.61504424778761
L04301923,izquierda,2,Pendiente excesiva,13,0.18055555555555555
L04301923,izquierda,3,ECG/marcapasos,460,6.388888888888889
L04301923,izquierda,5,Supresión,473,6.569444444444445
L04301923,izquierda,8,Potencia demasiado pequeña,44,0.6111111111111112
L04301923,izquierda,9,Movimiento,246,3.4166666666666665
L04301923,izquierda,10,Glitch,90,1.25
L04301923,izquierda,15,Clipping,21,0.2916666666666667
L04301923,izquierda,25,Bloqueo,162,2.25
L04301923,izquierda,29,Estado impedancia 0,110,1.5277777777777777
L04301923,izquierda,30,Estado impedancia 1,110,1.5277777777777777
L04301923,izquierda,-1,Unión de flags usados en máscara,899,12.486111111111112
L04301923,derecha,2,Pendiente excesiva,17,0.2361111111111111
L04301923,derecha,3,ECG/marcapasos,537,7.458333333333333
L04301923,derecha,4,Arrastre de artefacto,16,0.2222222222222222
L04301923,derecha,5,Supresión,278,3.861111111111111
L04301923,derecha,8,Potencia demasiado pequeña,25,0.3472222222222222
L04301923,derecha,9,Movimiento,346,4.805555555555555
L04301923,derecha,10,Glitch,72,1.0
L04301923,derecha,15,Clipping,19,0.2638888888888889
L04301923,derecha,25,Bloqueo,162,2.25
L04301923,derecha,29,Estado impedancia 0,110,1.5277777777777777
L04301923,derecha,30,Estado impedancia 1,110,1.5277777777777777
L04301923,derecha,-1,Unión de flags usados en máscara,1074,14.916666666666668
