metodo_espectral,bandwidth_B,suavizado,mascara,lados,Pearson_medio,Pearson_minimo,MAE_medio,RMSE_medio,bias_absoluto_medio,porcentaje_enmascarado_medio
Welch,,rolling,base,5,0.9149488166726621,0.723813181146804,1.8163651262787603,2.5806278206834294,0.8990728495281649,2.8908493436032936
Welch,,rolling,ARTF2,5,0.9096280478256953,0.6827873988188681,1.8191205201504808,2.5312939476095364,0.8741379615596203,33.56425081078021
Welch,,ewm,base,5,0.9087515745767979,0.6920089499421693,1.8442358362849016,2.5669711635594457,0.9049512289549495,2.8908493436032936
CWT Morlet,6.0,rolling,base,5,0.9077021554634122,0.7080072156131559,3.227426371952639,3.832717062982623,2.8603261872937416,2.8908493436032936
CWT Morlet,3.0,rolling,base,5,0.9071800999875588,0.7093828249435792,3.384241804767048,3.971316828110331,3.0274854649673224,2.8908493436032936
CWT Morlet,12.0,rolling,base,5,0.9069576564580262,0.7036556909928406,3.095263908157945,3.729740175772881,2.7174454222319318,2.8908493436032936
CWT Morlet,6.0,rolling,ARTF2,5,0.9065943502898517,0.6924347312009321,3.143931042982758,3.7716146095485996,2.8027427331465127,33.56425081078021
CWT Morlet,3.0,rolling,ARTF2,5,0.906429246843685,0.6915397923232913,3.296641397144519,3.905328785671537,2.9780772796032777,33.56425081078021
CWT Morlet,12.0,rolling,ARTF2,5,0.9058168572717848,0.6911463733794331,3.014322419860629,3.669658617941322,2.6486210692077314,33.56425081078021
CWT Morlet,1.5,rolling,base,5,0.9054551910010037,0.7072189911171676,3.6027183572503723,4.177367246032664,3.259435625231281,2.8908493436032936
CWT Morlet,1.5,rolling,ARTF2,5,0.9051804112345445,0.6873211500667923,3.5124125055656714,4.1070232111736065,3.2161803070414243,33.56425081078021
CWT Morlet,12.0,ewm,base,5,0.9025398782810132,0.6783088702094012,3.0923881887244677,3.734970401507895,2.723719792863832,2.8908493436032936
CWT Morlet,6.0,ewm,base,5,0.9023352910498644,0.6798645326526223,3.2242953803352266,3.8464190619280934,2.864833199829062,2.8908493436032936
CWT Morlet,3.0,ewm,base,5,0.9014037962832084,0.6799258714963965,3.37994613765523,3.9884408679305485,3.0312447252545605,2.8908493436032936
Welch,,ewm,ARTF2,5,0.9001445209244604,0.6488872730289253,1.7976061810908497,2.4575632162603234,0.7492412064335199,33.56425081078021
CWT Morlet,1.5,ewm,base,5,0.8996085677672656,0.6768459963514804,3.596738379998792,4.19487291911211,3.263318419818634,2.8908493436032936
CWT Morlet,0.5,rolling,base,5,0.8984326697977121,0.6909501544878494,4.411688879211043,4.976738809409648,4.118754884399723,2.8908493436032936
CWT Morlet,0.5,rolling,ARTF2,5,0.8977746292158951,0.6668660352215248,4.318998006746319,4.905643679813188,4.062439027590725,33.56425081078021
CWT Morlet,12.0,ewm,ARTF2,5,0.8955019955895857,0.6478379677611693,2.9577098278692793,3.6057913675950375,2.528468913063656,33.56425081078021
CWT Morlet,6.0,ewm,ARTF2,5,0.8945669680415052,0.645064260379882,3.0902654342401084,3.721075518653764,2.680340449871074,33.56425081078021
CWT Morlet,3.0,ewm,ARTF2,5,0.893750577323886,0.6440060773737621,3.242857632540537,3.8610176048489118,2.8554930542400214,33.56425081078021
CWT Morlet,0.5,ewm,base,5,0.8929626074786643,0.6602122667677746,4.405887276583906,4.994258432178308,4.122012804720358,2.8908493436032936
CWT Morlet,1.5,ewm,ARTF2,5,0.8923140511912988,0.6399591052703714,3.4542821983602465,4.062789596833687,3.0938503726246838,33.56425081078021
CWT Morlet,0.5,ewm,ARTF2,5,0.885869976420053,0.6222115109273627,4.242450052403002,4.846507226548123,3.9384690441963786,33.56425081078021
