registro,lado,metodo,modo,SpSmooth_s,shift_s,n,Pearson,MAE,RMSE
L03041035,unilateral,Welch,unilateral,30,10,117180,0.7260199951056941,3.7112665411102816,5.021854067376179
L03041035,unilateral,spectrogram,unilateral,30,10,117180,0.7260199951056941,3.7112665411102816,5.021854067376179
L04301923,derecha,Welch,bilateral,30,8,3323640,0.9803972591423009,1.0101106385853569,1.778629695073214
L04301923,derecha,spectrogram,bilateral,30,8,3323640,0.9803972591423009,1.0101106385853569,1.778629695073214
L04301923,izquierda,Welch,bilateral,30,7,3408960,0.9870550367334197,0.8720226369717173,1.5298859395368165
L04301923,izquierda,spectrogram,bilateral,30,7,3408960,0.9870550367334197,0.8720226369717173,1.5298859395368165
L05141322,derecha,Welch,bilateral,30,6,162300,0.9459089731866055,1.7372591406740052,2.374811003945357
L05141322,derecha,spectrogram,bilateral,30,6,162300,0.9459089731866055,1.7372591406740052,2.374811003945357
L05141322,izquierda,Welch,bilateral,30,6,155400,0.9396725169622384,1.590177964800591,2.293262715884652
L05141322,izquierda,spectrogram,bilateral,30,6,155400,0.9396725169622384,1.590177964800591,2.293262715884652
