registro,modo,lado,metodo,SpSmooth_s,shift_s,n,Pearson,MAE,RMSE
L03041035,unilateral,unilateral,Welch,30,0,118380,0.6848607981823784,3.854349511208144,5.293966142150869
L03041035,unilateral,unilateral,Welch,30,1,118260,0.6912030283037622,3.829552011935579,5.2545299224927895
L03041035,unilateral,unilateral,Welch,30,2,118140,0.6972110231452495,3.8059209529590796,5.216616011315043
L03041035,unilateral,unilateral,Welch,30,3,118020,0.7030369509619204,3.7834218872919116,5.1793425223171035
L03041035,unilateral,unilateral,Welch,30,4,117900,0.7084694417210032,3.7628183398465587,5.144233534334952
L03041035,unilateral,unilateral,Welch,30,5,117780,0.7133154754676664,3.7450376151570746,5.112853591017101
L03041035,unilateral,unilateral,Welch,30,6,117660,0.7175593682062027,3.7298997872221444,5.084301796304289
L03041035,unilateral,unilateral,Welch,30,7,117540,0.7210127041219714,3.7186465081843942,5.0603229284107165
L03041035,unilateral,unilateral,Welch,30,8,117420,0.7236138737508024,3.711352797349334,5.041345236933817
L03041035,unilateral,unilateral,Welch,30,9,117300,0.7253093193740987,3.7087540841206637,5.028256126356796
L03041035,unilateral,unilateral,Welch,30,10,117180,0.7260199951056941,3.7112665411102816,5.021854067376179
L03041035,unilateral,unilateral,Welch,30,11,117060,0.7258127362703833,3.7176723203122335,5.0208145129826995
L03041035,unilateral,unilateral,Welch,30,12,116940,0.7246834344757035,3.727566284985858,5.024571004937925
L03041035,unilateral,unilateral,Welch,30,13,116820,0.7225905348667695,3.74150468137044,5.034015014769039
L03041035,unilateral,unilateral,Welch,30,14,116700,0.7195630920228656,3.7597874155095377,5.049995958880875
L03041035,unilateral,unilateral,Welch,30,15,116580,0.7157113813130936,3.7812055215397096,5.071228835023087
L03041035,unilateral,unilateral,Welch,30,16,116460,0.7111436307540863,3.8046517945713947,5.096230385976233
L03041035,unilateral,unilateral,Welch,30,17,116340,0.7058645799088095,3.8307664350045147,5.125249857588734
L03041035,unilateral,unilateral,Welch,30,18,116220,0.699983715532058,3.858809246781175,5.15805706021383
L03041035,unilateral,unilateral,Welch,30,19,116100,0.6935298725468605,3.8887834748900754,5.194529170812049
L03041035,unilateral,unilateral,Welch,30,20,115980,0.6865483988792883,3.920371908929022,5.233646471371601
L03041035,unilateral,unilateral,Welch,30,21,115860,0.6793244343307537,3.951600759987859,5.273701773174831
L03041035,unilateral,unilateral,Welch,30,22,115740,0.6718900169616095,3.982793878712253,5.31414971495182
L03041035,unilateral,unilateral,Welch,30,23,115620,0.6643134061015179,4.0142938570650895,5.355151161870097
L03041035,unilateral,unilateral,Welch,30,24,115500,0.6567145708501626,4.045080066741202,5.3956798850264365
L03041035,unilateral,unilateral,Welch,30,25,115380,0.6490376948915807,4.075695835285927,5.436354246813184
L03041035,unilateral,unilateral,Welch,30,26,115320,0.6399943701980688,4.113502888370927,5.492257700355563
L03041035,unilateral,unilateral,Welch,30,27,115260,0.6315238394211584,4.149802882811596,5.5423867648543945
L03041035,unilateral,unilateral,Welch,30,28,115200,0.6232459813223711,4.1857924152629575,5.590943494942384
L03041035,unilateral,unilateral,Welch,30,29,115140,0.6151411400505613,4.221933545213477,5.640169013999551
L03041035,unilateral,unilateral,Welch,30,30,115080,0.6072527985267069,4.257751136680014,5.687726542692254
L03041035,unilateral,unilateral,spectrogram,30,0,118380,0.6848607981823784,3.854349511208144,5.293966142150869
L03041035,unilateral,unilateral,spectrogram,30,1,118260,0.6912030283037622,3.829552011935579,5.2545299224927895
L03041035,unilateral,unilateral,spectrogram,30,2,118140,0.6972110231452495,3.8059209529590796,5.216616011315043
L03041035,unilateral,unilateral,spectrogram,30,3,118020,0.7030369509619204,3.7834218872919116,5.1793425223171035
L03041035,unilateral,unilateral,spectrogram,30,4,117900,0.7084694417210032,3.7628183398465587,5.144233534334952
