registro,lado,bandwidth_B,segundos_analizados,segundos_borde_por_extremo,tiempo_calculo_s,mediana_dB,ventanas_raw_invalidas,SpSmooth_s,LoFilter_codigo,LoFilter_Hz
L03041035,unilateral,0.5,2119,14,5.348228599992581,85.08296591354596,0,30,3,2.5
L03041035,unilateral,1.5,2119,14,4.437675799941644,84.4480516454441,0,30,3,2.5
L03041035,unilateral,3.0,2119,14,3.651810899958946,84.32334074752424,0,30,3,2.5
L03041035,unilateral,6.0,2119,14,4.3381659999722615,84.25392059566329,0,30,3,2.5
L03041035,unilateral,12.0,2119,14,4.752373400027864,84.20461493572927,0,30,3,2.5
L05141322,izquierda,0.5,2712,14,4.898818099987693,79.20557054969959,0,30,3,2.5
L05141322,izquierda,1.5,2712,14,6.335475699976087,78.36246406046916,0,30,3,2.5
L05141322,izquierda,3.0,2712,14,5.215509200002998,78.1499701717915,0,30,3,2.5
L05141322,izquierda,6.0,2712,14,5.737917700083926,77.98771857365642,0,30,3,2.5
L05141322,izquierda,12.0,2712,14,5.189283299958333,77.85693003764061,0,30,3,2.5
L05141322,derecha,0.5,2712,14,5.4129160000011325,78.9777891503488,0,30,3,2.5
L05141322,derecha,1.5,2712,14,6.039883699966595,78.09418513668909,0,30,3,2.5
L05141322,derecha,3.0,2712,14,5.294154100003652,77.84328109118724,0,30,3,2.5
L05141322,derecha,6.0,2712,14,4.661254699924029,77.64915645064377,0,30,3,2.5
L05141322,derecha,12.0,2712,14,4.867659599985927,77.46849877738467,0,30,3,2.5
L04301923,izquierda,0.5,7200,14,13.543311299989,69.80863589011466,0,30,3,2.5
L04301923,izquierda,1.5,7200,14,14.681723599904217,68.92172470564381,0,30,3,2.5
L04301923,izquierda,3.0,7200,14,14.10018779989332,68.6449721007445,0,30,3,2.5
L04301923,izquierda,6.0,7200,14,14.547106900019571,68.4276098180888,0,30,3,2.5
L04301923,izquierda,12.0,7200,14,14.95649519993458,68.21865854726346,0,30,3,2.5
L04301923,derecha,0.5,7200,14,14.753936999943107,70.97313973104976,0,30,3,2.5
L04301923,derecha,1.5,7200,14,15.563609500066377,70.01163954786179,0,30,3,2.5
L04301923,derecha,3.0,7200,14,15.67301030003,69.69968117372409,0,30,3,2.5
L04301923,derecha,6.0,7200,14,15.629718199954368,69.45277362578383,0,30,3,2.5
L04301923,derecha,12.0,7200,14,15.96219510002993,69.23074905687383,0,30,3,2.5
