registro,lado,metodo,bandwidth_B,modo,SpSmooth_s,shift_s,n,Pearson,MAE,RMSE,bias
L03041035,unilateral,CWT Morlet,3.0,unilateral,30,11,116220,0.7093828249435792,5.278049540271791,6.4971113893731705,5.132440436889321
L03041035,unilateral,Welch,,unilateral,30,10,116340,0.723813181146804,3.7202902122904926,5.032721026627651,2.957048941574449
L04301923,derecha,CWT Morlet,6.0,bilateral,30,6,429960,0.9760018609609968,2.56977110451699,2.961577930510853,2.0666812677850097
L04301923,derecha,Welch,,bilateral,30,6,429960,0.9829668382251974,1.0215341444725707,1.598268779597403,0.12278192752705235
L04301923,izquierda,CWT Morlet,6.0,bilateral,30,6,429780,0.9788362114865703,2.5005130638006077,2.8399295474411743,1.9420780683934211
L04301923,izquierda,Welch,,bilateral,30,6,429780,0.9836234506805568,0.9935702715466393,1.5772528198947728,-0.021439239401205533
L05141322,derecha,CWT Morlet,12.0,bilateral,30,6,160680,0.9399811139147083,2.9364270358106754,3.47573624023701,2.6326948035490294
L05141322,derecha,Welch,,bilateral,30,6,160680,0.9455019804111384,1.7460166524941534,2.3873098106487904,0.8733433988306385
L05141322,izquierda,CWT Morlet,12.0,bilateral,30,6,153780,0.9376583407811787,2.660574201524724,3.1993386086713693,2.332528002507997
L05141322,izquierda,Welch,,bilateral,30,6,153780,0.9388386328996144,1.6004143505899462,2.3075866666485285,0.5207507403074793
