registro,lado,metodo,bandwidth_B,modo,SpSmooth_s,shift_s,n,Pearson,MAE,RMSE,bias
L03041035,unilateral,CWT Morlet,0.5,unilateral,30,11,116220,0.6909501544878494,5.976070941562121,7.119757247458733,5.873828087655788
L03041035,unilateral,CWT Morlet,1.5,unilateral,30,11,116220,0.7072189911171676,5.408077504409147,6.603247493510414,5.272845807652702
L03041035,unilateral,CWT Morlet,3.0,unilateral,30,11,116220,0.7093828249435792,5.278049540271791,6.4971113893731705,5.132440436889321
L03041035,unilateral,CWT Morlet,6.0,unilateral,30,11,116220,0.7080072156131559,5.19071202170979,6.445225517142833,5.035723078103335
L03041035,unilateral,CWT Morlet,12.0,unilateral,30,11,116220,0.7036556909928406,5.117820146415787,6.424436231449207,4.95139375242602
L03041035,unilateral,Welch,,unilateral,30,10,116340,0.723813181146804,3.7202902122904926,5.032721026627651,2.957048941574449
L04301923,derecha,CWT Morlet,0.5,bilateral,30,6,429960,0.9747484385251914,4.108020706627337,4.495418299778314,3.710798104905761
L04301923,derecha,CWT Morlet,1.5,bilateral,30,6,429960,0.9755971261169648,3.0618543200696764,3.4268445238725147,2.6070895009842086
L04301923,derecha,CWT Morlet,3.0,bilateral,30,6,429960,0.9759125740676559,2.7697051334781038,3.14562494094824,2.28997115212983
L04301923,derecha,CWT Morlet,6.0,bilateral,30,6,429960,0.9760018609609968,2.56977110451699,2.961577930510853,2.0666812677850097
L04301923,derecha,CWT Morlet,12.0,bilateral,30,6,429960,0.9755345038826312,2.4101723229877123,2.8276931843949304,1.8861608632495594
L04301923,derecha,Welch,,bilateral,30,6,429960,0.9829668382251974,1.0215341444725707,1.598268779597403,0.12278192752705235
L04301923,izquierda,CWT Morlet,0.5,bilateral,30,6,429780,0.9781898847544758,3.929430480354468,4.260577788310692,3.497038513329396
L04301923,izquierda,CWT Morlet,1.5,bilateral,30,6,429780,0.9783525552878853,2.9657362882968727,3.2764598762215176,2.4385078185857725
L04301923,izquierda,CWT Morlet,3.0,bilateral,30,6,429780,0.9787837773033332,2.692519461913621,3.013701290234447,2.1444609397071708
L04301923,izquierda,CWT Morlet,6.0,bilateral,30,6,429780,0.9788362114865703,2.5005130638006077,2.8399295474411743,1.9420780683934211
L04301923,izquierda,CWT Morlet,12.0,bilateral,30,6,429780,0.9779586327187716,2.351325834050825,2.7214966141118904,1.7844496894270525
L04301923,izquierda,Welch,,bilateral,30,6,429780,0.9836234506805568,0.9935702715466393,1.5772528198947728,-0.021439239401205533
L05141322,derecha,CWT Morlet,0.5,bilateral,30,6,160680,0.9270606945082718,4.221188751458897,4.703235662077453,3.9756546488297557
L05141322,derecha,CWT Morlet,1.5,bilateral,30,6,160680,0.9358064595493046,3.438554009398808,3.941667141658303,3.167564350909169
L05141322,derecha,CWT Morlet,3.0,bilateral,30,6,160680,0.9382297712726583,3.2312029805049165,3.7429153671356077,2.9516012897522375
L05141322,derecha,CWT Morlet,6.0,bilateral,30,6,160680,0.9394860544128985,3.076407858465866,3.5983452483529037,2.7851983386026355
L05141322,derecha,CWT Morlet,12.0,bilateral,30,6,160680,0.9399811139147083,2.9364270358106754,3.47573624023701,2.6326948035490294
L05141322,derecha,Welch,,bilateral,30,6,160680,0.9455019804111384,1.7460166524941534,2.3873098106487904,0.8733433988306385
L05141322,izquierda,CWT Morlet,0.5,bilateral,30,6,153780,0.9212141767127722,3.8237335160523926,4.304705049423048,3.5364550672779185
L05141322,izquierda,CWT Morlet,1.5,bilateral,30,6,153780,0.9303008229336961,3.1393696640773565,3.6386171949005703,2.811170648024552
L05141322,izquierda,CWT Morlet,3.0,bilateral,30,6,153780,0.9335915523505677,2.9497319076668065,3.4572311528601904,2.618953506358053
L05141322,izquierda,CWT Morlet,6.0,bilateral,30,6,153780,0.9361794348434392,2.7997278112699386,3.318507071465351,2.471950183584306
L05141322,izquierda,CWT Morlet,12.0,bilateral,30,6,153780,0.9376583407811787,2.660574201524724,3.1993386086713693,2.332528002507997
L05141322,izquierda,Welch,,bilateral,30,6,153780,0.9388386328996144,1.6004143505899462,2.3075866666485285,0.5207507403074793
