Tiempo_s,Canal_1,Canal_2
0.0000,-3006,-3122
0.0078,-3086,-3381
0.0156,-2777,-3036
0.0234,-2967,-2858
0.0312,-3042,-3062
0.0391,-3002,-3005
0.0469,-2860,-3112
0.0547,-2597,-3218
0.0625,-2105,-3307
0.0703,-1651,-3279
0.0781,-1045,-3363
0.0859,-853,-3292
0.0938,-712,-2865
0.1016,-418,-2414
0.1094,-316,-3163
0.1172,-609,-3638
0.1250,-647,-3122
0.1328,-1043,-2728
0.1406,-1015,-3300
0.1484,-1322,-3065
0.1562,-1666,-2392
0.1641,-1796,-2562
0.1719,-1754,-3003
0.1797,-1912,-2724
0.1875,-1995,-2666
0.1953,-2267,-2829
0.2031,-2283,-2833
0.2109,-2030,-2656
0.2188,-2267,-2695
0.2266,-2172,-2563
0.2344,-2005,-2588
0.2422,-2393,-2515
0.2500,-2308,-2545
0.2578,-2047,-2488
0.2656,-2463,-2375
0.2734,-2589,-2256
0.2812,-2209,-2500
0.2891,-2338,-2430
0.2969,-2540,-2482
0.3047,-2602,-2605
0.3125,-2491,-2541
0.3203,-2409,-2550
0.3281,-2447,-2464
0.3359,-2687,-2163
0.3438,-2767,-2537
0.3516,-2402,-2718
0.3594,-2356,-2471
0.3672,-2765,-2578
0.3750,-2835,-2662
0.3828,-2653,-2257
0.3906,-2679,-2874
0.3984,-2621,-3069
0.4062,-2719,-2554
0.4141,-2757,-2599
0.4219,-2808,-2937
0.4297,-2973,-2867
0.4375,-2988,-2951
0.4453,-3116,-2985
0.4531,-3029,-2858
0.4609,-2664,-2585
0.4688,-2822,-2572
0.4766,-3266,-3171
0.4844,-3187,-3419
0.4922,-2970,-3138
0.5000,-2682,-3264
0.5078,-2289,-3333
0.5156,-2014,-3679
0.5234,-1450,-4086
0.5312,-775,-3316
0.5391,-587,-2775
0.5469,-579,-3450
0.5547,-861,-3660
0.5625,-1040,-4050
0.5703,-929,-3975
0.5781,-1406,-3201
0.5859,-1989,-3656
0.5938,-1964,-4208
0.6016,-2215,-3448
0.6094,-2612,-3611
0.6172,-2340,-3535
0.6250,-2454,-3341
0.6328,-3011,-3658
0.6406,-3069,-3614
0.6484,-2924,-3194
0.6562,-3011,-3358
0.6641,-3092,-3259
0.6719,-3194,-3221
0.6797,-3285,-3449
0.6875,-3247,-3223
0.6953,-3484,-3336
0.7031,-3427,-3253
0.7109,-3271,-3027
0.7188,-3436,-3141
0.7266,-3536,-3062
0.7344,-3317,-3118
0.7422,-3321,-3356
0.7500,-3364,-3100
0.7578,-3358,-2858
0.7656,-3224,-3113
0.7734,-3225,-2902
0.7812,-3226,-2896
0.7891,-3007,-2916
0.7969,-2862,-2800
0.8047,-3342,-3250
0.8125,-3895,-3209
0.8203,-4043,-2739
0.8281,-3997,-2962
0.8359,-3997,-3421
0.8438,-4171,-3511
0.8516,-4183,-3518
0.8594,-4072,-3375
0.8672,-4138,-3335
0.8750,-4089,-3296
0.8828,-3976,-3209
0.8906,-3901,-3071
0.8984,-3920,-2491
0.9062,-3862,-2509
0.9141,-3840,-3516
0.9219,-3930,-3476
0.9297,-4034,-3016
0.9375,-3876,-3174
0.9453,-3924,-3091
0.9531,-3881,-2822
0.9609,-3683,-3071
0.9688,-3610,-2718
0.9766,-3642,-2342
0.9844,-3532,-2875
0.9922,-3583,-2892
1.0000,-3494,-2350
1.0078,-3327,-2686
1.0156,-3415,-2995
1.0234,-3447,-2866
1.0312,-3445,-2923
1.0391,-3578,-2858
1.0469,-3605,-2788
1.0547,-3654,-2864
1.0625,-3647,-2554
1.0703,-3410,-2723
1.0781,-3361,-2935
1.0859,-3677,-2804
1.0938,-3539,-2741
1.1016,-3623,-2770
1.1094,-3515,-2532
1.1172,-3340,-2735
1.1250,-3476,-2734
1.1328,-3489,-2564
1.1406,-3167,-2741
1.1484,-3268,-2628
1.1562,-3508,-2412
1.1641,-3511,-2580
1.1719,-3351,-2586
1.1797,-3055,-2234
1.1875,-2918,-1989
1.1953,-2964,-1995
1.2031,-2907,-1951
1.2109,-2827,-1759
1.2188,-2903,-1542
1.2266,-2721,-1421
1.2344,-2646,-1362
1.2422,-2640,-1413
1.2500,-2563,-1481
1.2578,-2705,-1492
1.2656,-2685,-1540
1.2734,-2508,-1567
1.2812,-2672,-1694
1.2891,-2843,-1836
1.2969,-2671,-1744
1.3047,-2633,-1759
1.3125,-2620,-1769
1.3203,-2753,-1727
1.3281,-2744,-1726
1.3359,-2601,-1705
1.3438,-2568,-1566
1.3516,-2636,-1671
1.3594,-2591,-1744
1.3672,-2484,-1407
1.3750,-2375,-1251
1.3828,-2257,-1496
1.3906,-2096,-1559
1.3984,-2158,-1519
1.4062,-2356,-1506
1.4141,-2338,-1389
1.4219,-2206,-1461
1.4297,-2231,-1565
1.4375,-2241,-1480
1.4453,-2251,-1512
1.4531,-2240,-1672
1.4609,-2289,-1616
1.4688,-2474,-1567
1.4766,-2494,-1895
1.4844,-2182,-1902
1.4922,-2247,-1808
1.5000,-2432,-1765
1.5078,-2242,-1681
1.5156,-2175,-1763
1.5234,-2299,-1993
1.5312,-2180,-1865
1.5391,-2101,-1704
1.5469,-2285,-1839
1.5547,-2089,-1960
1.5625,-1917,-1665
1.5703,-2148,-1588
1.5781,-2225,-1861
1.5859,-2126,-2005
1.5938,-2181,-1935
1.6016,-2143,-1870
1.6094,-2128,-1917
1.6172,-2084,-1884
1.6250,-2023,-1889
1.6328,-1980,-1832
1.6406,-2060,-1875
1.6484,-2032,-1812
1.6562,-2095,-1780
1.6641,-2178,-2021
1.6719,-2004,-2059
1.6797,-2062,-1924
1.6875,-2217,-1980
1.6953,-2033,-2140
1.7031,-1964,-2017
1.7109,-2049,-1858
1.7188,-1960,-1892
1.7266,-1854,-1909
1.7344,-2087,-2120
1.7422,-2135,-2050
1.7500,-1990,-1965
1.7578,-1803,-2062
1.7656,-1709,-2003
1.7734,-1892,-2032
1.7812,-1851,-2043
1.7891,-1473,-1694
1.7969,-1299,-2045
1.8047,-1124,-2439
1.8125,-846,-1724
1.8203,-809,-1814
1.8281,-962,-3378
1.8359,-1090,-3858
1.8438,-1415,-3647
1.8516,-1768,-3439
1.8594,-2042,-3634
1.8672,-2240,-4022
1.8750,-2435,-3880
1.8828,-2470,-3662
1.8906,-2464,-3831
1.8984,-2595,-3833
1.9062,-2741,-3587
1.9141,-2583,-3509
1.9219,-2566,-3580
1.9297,-2703,-3572
1.9375,-2601,-3378
1.9453,-2729,-3158
1.9531,-2888,-3318
1.9609,-2659,-3420
