Tiempo_s,Canal_1_raw,Canal_2_raw,Canal_1_uV,Canal_2_uV
0.0000,-3006,-3122,-60120.0000,-62440.0000
0.0078,-3086,-3381,-61720.0000,-67620.0000
0.0156,-2777,-3036,-55540.0000,-60720.0000
0.0234,-2967,-2858,-59340.0000,-57160.0000
0.0312,-3042,-3062,-60840.0000,-61240.0000
0.0391,-3002,-3005,-60040.0000,-60100.0000
0.0469,-2860,-3112,-57200.0000,-62240.0000
0.0547,-2597,-3218,-51940.0000,-64360.0000
0.0625,-2105,-3307,-42100.0000,-66140.0000
0.0703,-1651,-3279,-33020.0000,-65580.0000
0.0781,-1045,-3363,-20900.0000,-67260.0000
0.0859,-853,-3292,-17060.0000,-65840.0000
0.0938,-712,-2865,-14240.0000,-57300.0000
0.1016,-418,-2414,-8360.0000,-48280.0000
0.1094,-316,-3163,-6320.0000,-63260.0000
0.1172,-609,-3638,-12180.0000,-72760.0000
0.1250,-647,-3122,-12940.0000,-62440.0000
0.1328,-1043,-2728,-20860.0000,-54560.0000
0.1406,-1015,-3300,-20300.0000,-66000.0000
0.1484,-1322,-3065,-26440.0000,-61300.0000
0.1562,-1666,-2392,-33320.0000,-47840.0000
0.1641,-1796,-2562,-35920.0000,-51240.0000
0.1719,-1754,-3003,-35080.0000,-60060.0000
0.1797,-1912,-2724,-38240.0000,-54480.0000
0.1875,-1995,-2666,-39900.0000,-53320.0000
0.1953,-2267,-2829,-45340.0000,-56580.0000
0.2031,-2283,-2833,-45660.0000,-56660.0000
0.2109,-2030,-2656,-40600.0000,-53120.0000
0.2188,-2267,-2695,-45340.0000,-53900.0000
0.2266,-2172,-2563,-43440.0000,-51260.0000
0.2344,-2005,-2588,-40100.0000,-51760.0000
0.2422,-2393,-2515,-47860.0000,-50300.0000
0.2500,-2308,-2545,-46160.0000,-50900.0000
0.2578,-2047,-2488,-40940.0000,-49760.0000
0.2656,-2463,-2375,-49260.0000,-47500.0000
0.2734,-2589,-2256,-51780.0000,-45120.0000
0.2812,-2209,-2500,-44180.0000,-50000.0000
0.2891,-2338,-2430,-46760.0000,-48600.0000
0.2969,-2540,-2482,-50800.0000,-49640.0000
0.3047,-2602,-2605,-52040.0000,-52100.0000
0.3125,-2491,-2541,-49820.0000,-50820.0000
0.3203,-2409,-2550,-48180.0000,-51000.0000
0.3281,-2447,-2464,-48940.0000,-49280.0000
0.3359,-2687,-2163,-53740.0000,-43260.0000
0.3438,-2767,-2537,-55340.0000,-50740.0000
0.3516,-2402,-2718,-48040.0000,-54360.0000
0.3594,-2356,-2471,-47120.0000,-49420.0000
0.3672,-2765,-2578,-55300.0000,-51560.0000
0.3750,-2835,-2662,-56700.0000,-53240.0000
0.3828,-2653,-2257,-53060.0000,-45140.0000
0.3906,-2679,-2874,-53580.0000,-57480.0000
0.3984,-2621,-3069,-52420.0000,-61380.0000
0.4062,-2719,-2554,-54380.0000,-51080.0000
0.4141,-2757,-2599,-55140.0000,-51980.0000
0.4219,-2808,-2937,-56160.0000,-58740.0000
0.4297,-2973,-2867,-59460.0000,-57340.0000
0.4375,-2988,-2951,-59760.0000,-59020.0000
0.4453,-3116,-2985,-62320.0000,-59700.0000
0.4531,-3029,-2858,-60580.0000,-57160.0000
0.4609,-2664,-2585,-53280.0000,-51700.0000
0.4688,-2822,-2572,-56440.0000,-51440.0000
0.4766,-3266,-3171,-65320.0000,-63420.0000
0.4844,-3187,-3419,-63740.0000,-68380.0000
0.4922,-2970,-3138,-59400.0000,-62760.0000
0.5000,-2682,-3264,-53640.0000,-65280.0000
0.5078,-2289,-3333,-45780.0000,-66660.0000
0.5156,-2014,-3679,-40280.0000,-73580.0000
0.5234,-1450,-4086,-29000.0000,-81720.0000
0.5312,-775,-3316,-15500.0000,-66320.0000
0.5391,-587,-2775,-11740.0000,-55500.0000
0.5469,-579,-3450,-11580.0000,-69000.0000
0.5547,-861,-3660,-17220.0000,-73200.0000
0.5625,-1040,-4050,-20800.0000,-81000.0000
0.5703,-929,-3975,-18580.0000,-79500.0000
0.5781,-1406,-3201,-28120.0000,-64020.0000
0.5859,-1989,-3656,-39780.0000,-73120.0000
0.5938,-1964,-4208,-39280.0000,-84160.0000
0.6016,-2215,-3448,-44300.0000,-68960.0000
0.6094,-2612,-3611,-52240.0000,-72220.0000
0.6172,-2340,-3535,-46800.0000,-70700.0000
0.6250,-2454,-3341,-49080.0000,-66820.0000
0.6328,-3011,-3658,-60220.0000,-73160.0000
0.6406,-3069,-3614,-61380.0000,-72280.0000
0.6484,-2924,-3194,-58480.0000,-63880.0000
0.6562,-3011,-3358,-60220.0000,-67160.0000
0.6641,-3092,-3259,-61840.0000,-65180.0000
0.6719,-3194,-3221,-63880.0000,-64420.0000
0.6797,-3285,-3449,-65700.0000,-68980.0000
0.6875,-3247,-3223,-64940.0000,-64460.0000
0.6953,-3484,-3336,-69680.0000,-66720.0000
0.7031,-3427,-3253,-68540.0000,-65060.0000
0.7109,-3271,-3027,-65420.0000,-60540.0000
0.7188,-3436,-3141,-68720.0000,-62820.0000
0.7266,-3536,-3062,-70720.0000,-61240.0000
0.7344,-3317,-3118,-66340.0000,-62360.0000
0.7422,-3321,-3356,-66420.0000,-67120.0000
0.7500,-3364,-3100,-67280.0000,-62000.0000
